symbol,start_date,end_date
A,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AA,1900-01-01 00:00:00+00:00,2016-11-01 00:00:00+00:00
AAL,2015-03-23 00:00:00+00:00,2024-09-23 00:00:00+00:00
AAP,2015-07-08 00:00:00+00:00,2023-08-25 00:00:00+00:00
AAPL,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ABBV,2013-01-02 00:00:00+00:00,2026-03-04 00:00:00+00:00
ABK,2000-12-05 00:00:00+00:00,2008-06-10 00:00:00+00:00
ABMD,2018-05-31 00:00:00+00:00,2022-12-22 00:00:00+00:00
ABNB,2023-09-18 00:00:00+00:00,2026-03-04 00:00:00+00:00
ABS,1900-01-01 00:00:00+00:00,2006-06-02 00:00:00+00:00
ABT,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ACAS,1900-01-01 00:00:00+00:00,2009-03-03 00:00:00+00:00
ACE,1900-01-01 00:00:00+00:00,2016-01-19 00:00:00+00:00
ACGL,2022-11-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ACN,2011-07-05 00:00:00+00:00,2026-03-04 00:00:00+00:00
ADBE,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ADCT,1900-01-01 00:00:00+00:00,2007-07-02 00:00:00+00:00
ADI,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ADM,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ADP,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ADS,2013-12-23 00:00:00+00:00,2020-06-22 00:00:00+00:00
ADSK,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ADT,2012-10-01 00:00:00+00:00,2016-05-03 00:00:00+00:00
AEE,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AEP,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AES,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AET,1900-01-01 00:00:00+00:00,2018-12-03 00:00:00+00:00
AFL,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AGN,1900-01-01 00:00:00+00:00,2020-05-12 00:00:00+00:00
AIG,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AIV,1900-01-01 00:00:00+00:00,2020-12-21 00:00:00+00:00
AIZ,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AJG,2016-05-31 00:00:00+00:00,2026-03-04 00:00:00+00:00
AKAM,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AKS,2008-07-01 00:00:00+00:00,2011-12-16 00:00:00+00:00
ALB,2016-07-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ALGN,2017-06-19 00:00:00+00:00,2026-03-04 00:00:00+00:00
ALK,2016-05-13 00:00:00+00:00,2023-12-18 00:00:00+00:00
ALL,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ALLE,2013-12-02 00:00:00+00:00,2026-03-04 00:00:00+00:00
ALTR,1900-01-01 00:00:00+00:00,2015-12-29 00:00:00+00:00
ALXN,2012-05-21 00:00:00+00:00,2021-07-21 00:00:00+00:00
AMAT,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AMCR,2019-06-11 00:00:00+00:00,2026-03-04 00:00:00+00:00
AMD,1900-01-01 00:00:00+00:00,2013-09-20 00:00:00+00:00
AMD,2017-03-20 00:00:00+00:00,2026-03-04 00:00:00+00:00
AME,2013-09-20 00:00:00+00:00,2026-03-04 00:00:00+00:00
AMG,2014-07-01 00:00:00+00:00,2019-12-23 00:00:00+00:00
AMGN,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AMP,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AMT,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AMTM,2024-09-30 00:00:00+00:00,2024-12-23 00:00:00+00:00
AMZN,2005-11-18 00:00:00+00:00,2026-03-04 00:00:00+00:00
AN,1900-01-01 00:00:00+00:00,2017-08-08 00:00:00+00:00
ANDV,1900-01-01 00:00:00+00:00,2018-10-01 00:00:00+00:00
ANET,2018-08-28 00:00:00+00:00,2026-03-04 00:00:00+00:00
ANF,1900-01-01 00:00:00+00:00,2013-12-23 00:00:00+00:00
ANR,2011-06-01 00:00:00+00:00,2012-10-02 00:00:00+00:00
ANSS,2017-06-19 00:00:00+00:00,2025-07-18 00:00:00+00:00
AON,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AOS,2017-07-26 00:00:00+00:00,2026-03-04 00:00:00+00:00
APA,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
APC,1900-01-01 00:00:00+00:00,2019-08-09 00:00:00+00:00
APD,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
APH,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
APO,2024-12-23 00:00:00+00:00,2026-03-04 00:00:00+00:00
APOL,1900-01-01 00:00:00+00:00,2013-07-01 00:00:00+00:00
APP,2025-09-22 00:00:00+00:00,2026-03-04 00:00:00+00:00
APTV,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
ARE,2017-03-20 00:00:00+00:00,2026-03-04 00:00:00+00:00
ARES,2025-12-11 00:00:00+00:00,2026-03-04 00:00:00+00:00
ARG,2009-09-28 00:00:00+00:00,2016-05-23 00:00:00+00:00
ARNC,2016-11-01 00:00:00+00:00,2020-04-01 00:00:00+00:00
ATI,1900-01-01 00:00:00+00:00,2015-07-02 00:00:00+00:00
ATO,2019-02-15 00:00:00+00:00,2026-03-04 00:00:00+00:00
ATVI,2015-08-28 00:00:00+00:00,2023-10-18 00:00:00+00:00
AV,1900-01-01 00:00:00+00:00,2007-10-26 00:00:00+00:00
AVB,2007-01-10 00:00:00+00:00,2026-03-04 00:00:00+00:00
AVGO,2014-05-08 00:00:00+00:00,2026-03-04 00:00:00+00:00
AVP,1900-01-01 00:00:00+00:00,2015-03-23 00:00:00+00:00
AVY,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AWK,2016-03-04 00:00:00+00:00,2026-03-04 00:00:00+00:00
AXON,2023-05-04 00:00:00+00:00,2026-03-04 00:00:00+00:00
AXP,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
AYE,1900-01-01 00:00:00+00:00,1976-07-01 00:00:00+00:00
AYE,2000-12-05 00:00:00+00:00,2011-02-25 00:00:00+00:00
AYI,2016-05-03 00:00:00+00:00,2018-06-18 00:00:00+00:00
AZO,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BA,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BAC,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BALL,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BAX,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BBBY,1900-01-01 00:00:00+00:00,2017-07-26 00:00:00+00:00
BBWI,1900-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00
BBY,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BC,1900-01-01 00:00:00+00:00,2008-06-23 00:00:00+00:00
BCR,1900-01-01 00:00:00+00:00,2018-01-03 00:00:00+00:00
BDX,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BEAM,1900-01-01 00:00:00+00:00,2014-05-01 00:00:00+00:00
BEN,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BF-B,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BG,2023-03-15 00:00:00+00:00,2026-03-04 00:00:00+00:00
BHF,2017-08-08 00:00:00+00:00,2019-04-02 00:00:00+00:00
BHI,1900-01-01 00:00:00+00:00,2017-07-07 00:00:00+00:00
BIG,1900-01-01 00:00:00+00:00,2013-02-15 00:00:00+00:00
BIIB,1900-01-01 00:00:00+00:00,2026-03-04 00:00:00+00:00
BIO,2020-06-22 00:00:00+00:00,2024-09-23 00:00:00+00:00
